department,division,division_id,question_index,question_id,label,type,options,required,label_char_count
General Secretary,Secretary,fcgqgfv3nlxezslip14isdi9,0,q1,1. Apa alasan kamu tertarik magang di sekretaris HMIF?,textarea,,True,54
General Secretary,Secretary,fcgqgfv3nlxezslip14isdi9,1,q2,2. Kamu punya pengalaman apa aja yang berhubungan dengan sekretaris?,textarea,,True,68
General Secretary,Secretary,fcgqgfv3nlxezslip14isdi9,2,q3,3. Apakah kamu sanggup handle ratusan surat yang masuk?,textarea,,True,55
General Secretary,Treasurer,4qnorf4dmsiq8dkv7ffxb8u7,0,q1,1. Apa alasan kamu pilih magang di divisi Treasurer? (Paragraph),textarea,,True,64
General Secretary,Treasurer,4qnorf4dmsiq8dkv7ffxb8u7,1,q2,2. Ceritakan pengalamanmu yang berhubungan dengan divisi ini (Paragraph),textarea,,True,72
General Secretary,Treasurer,4qnorf4dmsiq8dkv7ffxb8u7,2,q3,"3. Menurut kamu, apa tantangan terbesar dalam mengelola keuangan sebuah organisasi, dan bagaimana cara kamu mengatasinya? (Paragraph)",textarea,,True,133
General Secretary,Capital Catalyst,sqvtc484vkwwbfm1girrb455,0,q1,1.  Apa alasan kamu tertarik bergabung dengan Capital Catalysts? (Paragraph),textarea,,True,76
General Secretary,Capital Catalyst,sqvtc484vkwwbfm1girrb455,1,q2,"2. Menurutmu, apa peran Capital Catalyst dalam mendukung HMIF?",textarea,,True,62
General Secretary,Capital Catalyst,sqvtc484vkwwbfm1girrb455,2,q3,"3. Ceritakan pengalaman yang menunjukkan kemampuanmu dalam membangun relasi, bernegosiasi, atau mengelola kegiatan yang melibatkan pihak eksternal.",textarea,,True,147
General Secretary,Capital Catalyst,sqvtc484vkwwbfm1girrb455,3,q4,"4. Jika diberi kesempatan mengembangkan satu program atau sumber pendanaan baru untuk HMIF, ide apa yang ingin kamu usulkan? Jelaskan alasan dan gambaran singkat pelaksanaannya. (Paragraph)",textarea,,True,189
General Secretary,Household,jcydwpaa3jvd7eb76y86qmhu,0,q1,1. Apa alasan kamu mw join RumahPegang? (Paragraph),textarea,,True,51
General Secretary,Household,jcydwpaa3jvd7eb76y86qmhu,1,q2,"2. Apakah kamu punya pengalaman kerja (BP/Kepanitiaan, tidak perlu relevan dengan Household)? (Paragraph, optional)",textarea,,False,115
General Secretary,Household,jcydwpaa3jvd7eb76y86qmhu,2,q3,"3. Menurut kamu, adakah hal yang bisa ditingkatkan dari kondisi sekre 1 dan/atau 2 untuk sekarang? (Paragraph, wajib)",textarea,,True,117
General Secretary,Household,jcydwpaa3jvd7eb76y86qmhu,3,q4,4. Apakah kamu bersedia bekerja di Weekend? (Max. 1 atau 2 kali per bulan) (Yes/No),radio,Ya; Tidak,True,83
General Secretary,Household,jcydwpaa3jvd7eb76y86qmhu,4,q5,"5.  Apakah bersedia memberikan foto kondisi meja belajar kalian? (Foto, wajib)",file,,True,78
People,People Development,c8qa63fxbkvoiwm3k81dyado,0,q1,1. Apa alasan kamu ingin masuk People Development? (paragraph),textarea,,True,62
People,People Development,c8qa63fxbkvoiwm3k81dyado,1,q2,"2. Menurut kamu, People Development itu sebenernya ngapain aja? (paragraph)",textarea,,True,75
People,People Development,c8qa63fxbkvoiwm3k81dyado,2,q3,3. Adakah pengalaman organisasi atau kepanitiaan yang berkaitan dengan kaderisasi atau pembinaan anggota sebelumnya? Ceritain singkat! (paragraph),textarea,,True,146
People,People Development,c8qa63fxbkvoiwm3k81dyado,3,q4,"4. Kalau kamu diminta merancang sekolah kepanitiaan untuk staff/panitia acara HMIF (Wispril, Wisokto, Dies Natalis, dll.), kira-kira seperti apa? (paragraph)",textarea,,True,157
People,People Development,c8qa63fxbkvoiwm3k81dyado,4,q5,"5. Selama periode intensif, PepDev rutin menyusun progress report dan matriks penilaian. Seberapa siap kamu berkomitmen pada rutinitas administratif ini dan apakah kamu memiliki pengalaman serupa? (paragraph) 6. Yakinkan kami bahwa kamu  cocok untuk magang di  People Development! (paragraph)",textarea,,True,292
People,People Management,tz49p5nev30ftlb0jpk1vfnu,0,q1,1. Alasan kamu ingin masuk People Management? (paragraph),textarea,,True,57
